iter	Passed	Remaining
591	2062	1421
592	2065	1417
593	2068	1413
594	2071	1410
595	2074	1406
596	2077	1402
597	2081	1398
598	2084	1395
599	2087	1391
600	2090	1387
601	2093	1384
602	2096	1380
603	2099	1376
604	2102	1372
605	2106	1369
606	2109	1365
607	2112	1361
608	2115	1358
609	2118	1354
610	2121	1350
611	2127	1348
612	2130	1344
613	2133	1341
614	2136	1337
615	2139	1333
616	2142	1330
617	2145	1326
618	2149	1322
619	2152	1319
620	2155	1315
621	2158	1311
622	2161	1308
623	2164	1304
624	2167	1300
625	2170	1296
626	2173	1293
627	2176	1289
628	2179	1285
629	2182	1282
630	2185	1278
631	2189	1274
632	2192	1271
633	2195	1267
634	2198	1263
635	2201	1259
636	2204	1256
637	2207	1252
638	2210	1248
639	2213	1245
640	2217	1241
641	2220	1238
642	2223	1234
643	2226	1230
644	2229	1227
645	2232	1223
646	2235	1219
647	2239	1216
648	2242	1212
649	2245	1209
650	2248	1205
651	2251	1201
652	2254	1198
653	2257	1194
654	2261	1190
655	2267	1189
656	2270	1185
657	2273	1181
658	2276	1178
659	2279	1174
660	2282	1170
661	2286	1167
662	2289	1163
663	2292	1160
664	2295	1156
665	2300	1153
666	2303	1149
667	2306	1146
668	2309	1142
669	2312	1139
670	2315	1135
671	2321	1133
672	2326	1130
673	2329	1126
674	2332	1123
675	2336	1119
676	2339	1116
677	2342	1112
678	2345	1108
679	2348	1105
680	2351	1101
681	2354	1098
682	2358	1094
683	2361	1090
684	2364	1087
685	2369	1084
686	2372	1081
687	2375	1077
688	2379	1073
689	2382	1070
690	2385	1066
691	2388	1063
692	2392	1059
693	2396	1056
694	2399	1053
695	2402	1049
696	2405	1045
697	2408	1042
698	2412	1038
699	2415	1035
700	2421	1032
701	2424	1029
702	2427	1025
703	2430	1022
704	2433	1018
705	2437	1014
706	2440	1011
707	2443	1007
708	2446	1004
709	2449	1000
710	2452	996
711	2455	993
712	2462	991
713	2465	987
714	2468	983
715	2471	980
716	2474	976
717	2478	973
718	2481	969
719	2484	966
720	2487	962
721	2490	958
722	2493	955
723	2496	951
724	2499	948
725	2502	944
726	2506	941
727	2509	937
728	2512	934
729	2515	930
730	2519	927
731	2522	923
732	2525	919
733	2528	916
734	2532	912
735	2535	909
736	2538	905
737	2541	902
738	2546	899
739	2549	895
740	2552	892
741	2555	888
742	2558	885
743	2562	881
744	2565	878
745	2568	874
746	2571	870
747	2574	867
748	2578	863
749	2581	860
750	2584	856
751	2587	853
752	2591	849
753	2594	846
754	2597	842
755	2600	839
756	2603	835
757	2606	832
758	2610	828
759	2613	825
760	2616	821
761	2619	818
762	2623	814
763	2626	811
764	2629	807
765	2632	804
766	2637	801
767	2640	797
768	2643	794
769	2646	790
770	2649	787
771	2653	783
772	2656	779
773	2659	776
774	2662	772
775	2665	769
776	2669	766
777	2672	762
778	2675	759
779	2679	755
780	2682	752
781	2685	748
782	2688	745
783	2691	741
784	2694	738
785	2697	734
786	2700	730
787	2703	727
788	2706	723
789	2709	720
790	2712	716
791	2715	713
792	2718	709
793	2722	706
794	2725	702
795	2728	699
796	2731	695
797	2734	692
798	2737	688
799	2741	685
800	2744	681
801	2747	678
802	2750	674
803	2753	671
804	2756	667
805	2760	664
806	2764	661
807	2767	657
808	2770	654
809	2774	650
810	2777	647
811	2780	643
812	2783	640
813	2786	636
814	2789	633
815	2792	629
816	2796	626
817	2799	622
818	2802	619
819	2805	615
820	2809	612
821	2814	609
822	2818	606
823	2822	602
824	2825	599
825	2828	595
826	2833	592
827	2836	589
828	2839	585
829	2842	582
830	2845	578
831	2848	575
832	2852	571
833	2855	568
834	2858	564
835	2861	561
836	2864	557
837	2868	554
838	2871	550
839	2874	547
840	2877	543
841	2880	540
842	2883	537
843	2886	533
844	2889	530
845	2893	526
846	2896	523
847	2900	519
848	2903	516
849	2906	512
850	2909	509
851	2917	506
852	2920	503
853	2924	499
854	2927	496
855	2930	492
856	2933	489
857	2936	485
858	2939	482
859	2942	479
860	2945	475
861	2948	472
862	2951	468
863	2954	465
864	2984	465
865	2988	462
866	2991	458
867	2994	455
868	2997	451
869	3001	448
870	3004	444
871	3007	441
872	3010	437
873	3013	434
874	3017	431
875	3020	427
876	3023	424
877	3026	420
878	3029	417
879	3033	413
880	3036	410
881	3039	406
882	3043	403
883	3046	399
884	3049	396
885	3052	392
886	3055	389
887	3058	385
888	3061	382
889	3065	378
890	3068	375
891	3071	371
892	3074	368
893	3077	364
894	3081	361
895	3084	358
896	3087	354
897	3090	351
898	3093	347
899	3096	344
900	3099	340
901	3103	337
902	3106	333
