iter	Passed	Remaining
641	115207	64243
642	115372	64055
643	115591	63898
644	115765	63715
645	115955	63542
646	116110	63349
647	116236	63141
648	116364	62933
649	116489	62725
650	116616	62517
651	116741	62309
652	116867	62102
653	116999	61898
654	117163	61711
655	117287	61504
656	117416	61299
657	117542	61093
658	117667	60886
659	117793	60681
660	117920	60476
661	118049	60272
662	118201	60081
663	118331	59878
664	118458	59674
665	118584	59470
666	118719	59270
667	118883	59085
668	119046	58900
669	119312	58766
670	119476	58580
671	119640	58396
672	119803	58210
673	119982	58033
674	120164	57857
675	120418	57715
676	120554	57517
677	120721	57333
678	120885	57148
679	121054	56966
680	121218	56782
681	121385	56599
682	121634	56453
683	121785	56263
684	121949	56078
685	122158	55915
686	122322	55730
687	122488	55547
688	122729	55397
689	122867	55201
690	123050	55025
691	123229	54848
692	123393	54663
693	123556	54478
694	123720	54294
695	123990	54156
696	124166	53977
697	124357	53805
698	124521	53620
699	124686	53437
700	124850	53252
701	125095	53103
702	125255	52917
703	125419	52733
704	125584	52549
705	125749	52365
706	125937	52191
707	126187	52043
708	126350	51859
709	126513	51674
710	126677	51490
711	126840	51306
712	127013	51126
713	127274	50981
714	127432	50794
715	127596	50610
716	127758	50426
717	127921	50242
718	128086	50058
719	128249	49874
720	128493	49722
721	128661	49540
722	128825	49356
723	128989	49172
724	129159	48991
725	129322	48807
726	129571	48656
727	129737	48473
728	129910	48293
729	130073	48109
730	130238	47926
731	130402	47743
732	130568	47560
733	130835	47414
734	131017	47237
735	131180	47053
736	131343	46870
737	131505	46686
738	131668	46502
739	131921	46350
740	132101	46173
741	132266	45990
742	132428	45806
743	132608	45628
744	132772	45445
745	133051	45301
746	133232	45124
747	133401	44942
748	133564	44759
749	133730	44576
750	133900	44395
751	134167	44246
752	134337	44065
753	134501	43882
754	134665	43699
755	134829	43516
756	135010	43338
757	135175	43156
758	135405	42994
759	135570	42811
760	135734	42628
761	135912	42450
762	136100	42274
763	136263	42092
764	136500	41931
765	136651	41744
766	136813	41561
767	136976	41378
768	137147	41197
769	137309	41014
770	137543	40852
771	137753	40683
772	137912	40499
773	138037	40305
774	138194	40121
775	138368	39941
776	138534	39759
777	138780	39600
778	138954	39420
779	139119	39238
780	139283	39056
781	139447	38874
782	139610	38691
783	139774	38509
